time/fps,time/iterations,time/time_elapsed,train/reward,time/total_timesteps,train/n_updates,train/approx_kl,train/value_loss,train/entropy_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/explained_variance,train/std,train/policy_gradient_loss,train/loss
383,16,85,62.544235,32768,150,0.006873163,5845.607704162598,-42.910631918907164,0.2,0.00025,0.032958984375,0.29202699661254883,1.0119500160217285,-0.024701726905186662,2558.354736328125
382,17,90,-3.278642,34816,160,0.00330124,18125.801647949218,-42.9267165184021,0.2,0.00025,0.004541015625,0.20602011680603027,1.0121800899505615,-0.014509213686687871,10166.4404296875
383,18,96,106.42655,36864,170,0.012084296,3324.7260971069336,-42.955506038665774,0.2,0.00025,0.110888671875,0.3660767078399658,1.0138733386993408,-0.03983957417367492,1826.0247802734375
383,19,101,-345.13596,38912,180,0.016893286,2404.287498474121,-43.02396869659424,0.2,0.00025,0.174853515625,0.09182792901992798,1.0164294242858887,-0.052931589394574985,1200.0679931640625
383,20,106,48.29275,40960,190,0.007977882,9539.325891113282,-43.061613297462465,0.2,0.00025,0.039990234375,0.2300315499305725,1.0167388916015625,-0.027880521143379154,5608.306640625
383,21,112,7.7404876,43008,200,0.0069869803,11980.96071472168,-43.07378952503204,0.2,0.00025,0.042626953125,0.2529935836791992,1.0173779726028442,-0.026754593901569024,6472.99853515625
383,22,117,-43.019623,45056,210,0.013130683,4216.820491027832,-43.118567609786986,0.2,0.00025,0.135400390625,0.3413897752761841,1.0196319818496704,-0.045696793113893366,2030.7698974609375
382,23,122,301.50046,47104,220,0.017116424,2666.3704849243163,-43.18818731307984,0.2,0.00025,0.20126953125,0.33424192667007446,1.0220400094985962,-0.0540994537412189,1231.48388671875
383,24,128,-131.70107,49152,230,0.008592028,7649.408413696289,-43.220496678352355,0.2,0.00025,0.05712890625,0.3319135308265686,1.02204167842865,-0.028315144058433363,2929.18603515625
383,25,133,-154.75996,51200,240,0.01407225,4653.001846313477,-43.23603863716126,0.2,0.00025,0.142626953125,0.39262938499450684,1.0230962038040161,-0.04294337435276248,1470.14208984375
383,26,138,0.1364571,53248,250,0.0107711665,9810.5447265625,-43.264357233047484,0.2,0.00025,0.08662109375,0.3010917901992798,1.0238858461380005,-0.035360913374461234,4503.08740234375
383,27,144,88.95659,55296,260,0.00818555,10677.513009643555,-43.291597390174864,0.2,0.00025,0.05244140625,0.3690337538719177,1.0250827074050903,-0.03024218595819548,4714.58349609375
383,28,149,-12.932873,57344,270,0.009555632,12584.343090820312,-43.31496605873108,0.2,0.00025,0.06689453125,0.31073707342147827,1.0254579782485962,-0.034323436638806014,6852.12744140625
383,29,154,-169.6958,59392,280,0.009173132,12559.306658935548,-43.33455402851105,0.2,0.00025,0.06865234375,0.36155766248703003,1.026405692100525,-0.03344130821060389,7024.40283203125
383,30,160,-201.94951,61440,290,0.009144931,16916.84212036133,-43.34780118465424,0.2,0.00025,0.054541015625,0.35721248388290405,1.0264836549758911,-0.030487972282571718,9019.4306640625
383,31,165,4.551712,63488,300,0.016049536,5676.610314941407,-43.36228096485138,0.2,0.00025,0.1783203125,0.40223002433776855,1.0274593830108643,-0.051745905258576384,1854.7418212890625
383,32,171,0.4894397,65536,310,0.011219585,10895.448355102539,-43.38562912940979,0.2,0.00025,0.086767578125,0.4048975110054016,1.0279136896133423,-0.03981876153848134,6408.53076171875
383,33,176,137.91862,67584,320,0.009947267,15063.156756591798,-43.4061774969101,0.2,0.00025,0.064892578125,0.3906264305114746,1.0289301872253418,-0.036797950736945494,6548.61376953125
383,34,181,1.0828457,69632,330,0.0086204745,21212.046936035156,-43.417018032073976,0.2,0.00025,0.05458984375,0.38227909803390503,1.0287145376205444,-0.031020142693887465,11601.919921875
