train/n_updates,train/explained_variance,train/entropy_loss,train/learning_rate,time/total_timesteps,train/reward,train/policy_loss,time/time_elapsed,time/fps,train/value_loss,time/iterations,train/std
5199,0.6306274831295013,-42.12287139892578,0.0007,26000,-87.34893,-821.1238403320312,264,98,756.1060791015625,5200,0.9866768717765808
5299,0.9075206965208054,-42.1015739440918,0.0007,26500,-33.512066,385.1227722167969,269,98,205.51220703125,5300,0.9860982894897461
5399,0.86821448802948,-42.071868896484375,0.0007,27000,162.41162,9.415979385375977,276,97,389.15655517578125,5400,0.9851124286651611
5499,0.3491915464401245,-42.04652786254883,0.0007,27500,-38.532185,-1355.0462646484375,282,97,1188.049560546875,5500,0.9841906428337097
5599,0.6563994586467743,-42.054595947265625,0.0007,28000,64.484634,362.30743408203125,289,96,567.7716064453125,5600,0.9841902852058411
5699,0.7568074315786362,-42.076507568359375,0.0007,28500,10.600799,-2555.290283203125,296,96,4539.05419921875,5700,0.9849941730499268
5799,0.8569875657558441,-42.14277648925781,0.0007,29000,-112.75149,836.9010620117188,304,95,922.9489135742188,5800,0.9869413375854492
5899,0.7460945844650269,-42.023807525634766,0.0007,29500,-189.38708,1142.5208740234375,311,94,1768.8314208984375,5900,0.9832977652549744
5999,-1.4740331172943115,-42.08285140991211,0.0007,30000,1.7152728,-509.330322265625,319,93,2045.2769775390625,6000,0.9850858449935913
6099,0.9091708287596703,-42.09375,0.0007,30500,-124.77752,-385.06463623046875,326,93,191.38768005371094,6100,0.9855279922485352
6199,0.7601805925369263,-42.084102630615234,0.0007,31000,112.77621,2158.540283203125,334,92,3502.49560546875,6200,0.9852646589279175
6299,0.9133689552545547,-42.014625549316406,0.0007,31500,62.45818,528.70849609375,341,92,507.0679626464844,6300,0.9830149412155151
6399,0.8974517956376076,-42.01262283325195,0.0007,32000,-0.72012365,1773.284912109375,349,91,2470.00439453125,6400,0.982667088508606
6499,-8.895276069641113,-42.00175857543945,0.0007,32500,-19.368229,-1637.1292724609375,356,91,4594.3818359375,6500,0.9822477698326111
6599,0.8069671541452408,-41.98594284057617,0.0007,33000,-0.7780854,-234.93209838867188,363,90,255.3645782470703,6600,0.9818401336669922
6699,0.808521032333374,-42.05497360229492,0.0007,33500,4.628125,-836.1484375,370,90,978.3709106445312,6700,0.9842666983604431
6799,0.2992666959762573,-42.11289596557617,0.0007,34000,41.85957,983.98388671875,377,90,773.8021240234375,6800,0.9859984517097473
6899,0.9456715472042561,-42.112091064453125,0.0007,34500,12.524509,-2117.93505859375,382,90,2843.062255859375,6900,0.986103355884552
6999,0.3547152280807495,-42.10945510864258,0.0007,35000,121.62915,-722.5511474609375,388,90,1016.1564331054688,7000,0.9858280420303345
7099,-0.26988983154296875,-42.115821838378906,0.0007,35500,12.847687,477.3749084472656,394,90,2084.141357421875,7100,0.9862208962440491
7199,0.3046289086341858,-42.11917495727539,0.0007,36000,0.7989262,-0.787243664264679,400,89,169.8529052734375,7200,0.9865617156028748
7299,-0.0992131233215332,-42.1227912902832,0.0007,36500,2.15396,-832.8302001953125,405,89,5523.7177734375,7300,0.9865469336509705
7399,0.7045522332191467,-42.14876174926758,0.0007,37000,-130.56967,225.9589385986328,412,89,398.63079833984375,7400,0.9872077107429504
7499,0.19708359241485596,-42.16340637207031,0.0007,37500,50.27681,-306.6619873046875,418,89,1144.3441162109375,7500,0.9878351092338562
7599,0.696579098701477,-42.15703582763672,0.0007,38000,-4.226969,-44.932899475097656,424,89,166.3070526123047,7600,0.9874404668807983
7699,0.8064062595367432,-42.11247253417969,0.0007,38500,7.6648397,444.2315368652344,430,89,272.3688049316406,7700,0.9863191246986389
7799,0.7921454161405563,-42.1082763671875,0.0007,39000,49.70946,682.5720825195312,435,89,733.7512817382812,7800,0.9863545298576355
7899,-0.889183759689331,-42.04033660888672,0.0007,39500,91.69839,-127.32118225097656,442,89,243.2867889404297,7900,0.9840611219406128
7999,0.08777755498886108,-42.02867889404297,0.0007,40000,29.58754,103.76432800292969,449,88,1184.692138671875,8000,0.983555793762207
8099,0.7915719151496887,-42.0130729675293,0.0007,40500,-71.41217,-2918.58642578125,456,88,4585.91650390625,8100,0.9829593300819397
8199,0.7746892124414444,-42.03587341308594,0.0007,41000,97.12169,1092.005126953125,462,88,1230.2552490234375,8200,0.9838393330574036
8299,0.7828710377216339,-42.01171875,0.0007,41500,148.36732,-762.3865356445312,468,88,1343.556396484375,8300,0.9829549193382263
8399,0.44288748502731323,-41.94231033325195,0.0007,42000,-35.73986,-1892.8011474609375,474,88,5991.4580078125,8400,0.9809348583221436
8499,0.8904189020395279,-41.92070007324219,0.0007,42500,36.69427,-221.31527709960938,480,88,322.43798828125,8500,0.9802375435829163
8599,0.7414914071559906,-41.90430450439453,0.0007,43000,-2.2856922,1145.79541015625,486,88,1353.3609619140625,8600,0.9795361757278442
8699,0.8878983408212662,-41.95421600341797,0.0007,43500,-80.24785,-707.5237426757812,492,88,1009.4962768554688,8700,0.981528639793396
8799,0.9958857209421694,-41.923484802246094,0.0007,44000,7.539516,445.57415771484375,498,88,109.9608383178711,8800,0.9803236126899719
8899,0.006613612174987793,-41.87803649902344,0.0007,44500,256.9178,-4561.7490234375,504,88,10718.845703125,8900,0.9785980582237244
8999,-0.35216856002807617,-41.86860275268555,0.0007,45000,39.778458,2405.43115234375,510,88,5389.9189453125,9000,0.9786433577537537
9099,0.6586681604385376,-41.902530670166016,0.0007,45500,68.34415,-557.9078369140625,516,88,384.8553771972656,9100,0.9798597693443298
9199,0.08845853805541992,-41.92689895629883,0.0007,46000,44.047497,-1633.7706298828125,522,88,4882.7724609375,9200,0.9807678461074829
9299,-0.4703587293624878,-41.96983337402344,0.0007,46500,-8.001399,6791.6796875,529,87,27567.55078125,9300,0.9822349548339844
9399,0.042743802070617676,-42.023555755615234,0.0007,47000,-2.1417234,909.6775512695312,535,87,29274.26953125,9400,0.9838782548904419
9499,-128.14511108398438,-42.0468635559082,0.0007,47500,1.0379854,-1431.825927734375,541,87,1636.424560546875,9500,0.984700620174408
9599,0.23763424158096313,-42.044334411621094,0.0007,48000,99.61832,-2862.697998046875,547,87,7325.66650390625,9600,0.9849928617477417
9699,0.6525942981243134,-42.0049934387207,0.0007,48500,-27.677202,-1605.9312744140625,554,87,1651.9947509765625,9700,0.9837270975112915
9799,0.19480818510055542,-41.98646545410156,0.0007,49000,-236.3509,-1769.8052978515625,560,87,12186.525390625,9800,0.9832595586776733
9899,0.11050260066986084,-41.910118103027344,0.0007,49500,46.31961,1694.6959228515625,566,87,17182.42578125,9900,0.9805784821510315
9999,-0.08950400352478027,-41.887821197509766,0.0007,50000,105.889885,-843.6427612304688,572,87,4557.6083984375,10000,0.9800799489021301
