date,a2c,ddpg,ppo,td3,sac
2023-05-31 15:00:00,1195805.6520010002,,,,
2023-06-01 09:00:00,923654.8630010001,,,,
2023-06-01 10:00:00,1479100.2260010003,,,,
2023-06-01 11:00:00,1520015.539001,,,,
2023-06-01 12:00:00,970720.9270010003,,,,
2023-06-01 13:00:00,1244794.030001,,,,
2023-06-01 14:00:00,932550.9240010001,,,,
2023-06-01 15:00:00,1497790.5490010004,,,,
2023-06-02 09:00:00,1534937.475001,,,,
2023-06-02 10:00:00,1207254.1420010002,,,,
2023-06-02 11:00:00,1445384.3830010004,,,,
2023-06-02 12:00:00,794435.158229,,,,
2023-06-02 13:00:00,921912.0463020002,,,,
2023-06-02 14:00:00,1545354.6933020004,,,,
2023-06-02 15:00:00,1056374.265302,,,,
2023-06-05 09:00:00,870743.8213020001,,,,
2023-06-05 10:00:00,802922.3043020002,,,,
2023-06-05 11:00:00,943424.6563020002,,,,
2023-06-05 12:00:00,1238392.789302,,,,
2023-06-05 13:00:00,1218654.0493020003,,,,
2023-06-05 14:00:00,1215746.1253020002,,,,
2023-06-05 15:00:00,934328.2277020001,,,,
2023-06-06 09:00:00,1058901.999702,,,,
2023-06-06 10:00:00,1015941.8317020001,,,,
2023-06-06 11:00:00,1204892.3877020003,,,,
2023-06-06 12:00:00,794349.453702,,,,
2023-06-06 13:00:00,1100450.046702,,,,
2023-06-06 14:00:00,947151.3967019999,,,,
2023-06-06 15:00:00,1357977.956702,,,,
2023-06-07 09:00:00,1651620.642702,,,,
2023-06-07 10:00:00,1200214.3007020003,,,,
2023-06-07 11:00:00,1393231.7037020002,,,,
2023-06-07 12:00:00,929446.5947020001,,,,
2023-06-07 13:00:00,1187459.4157020003,,,,
2023-06-07 14:00:00,1188265.5107020002,,,,
2023-06-07 15:00:00,930407.7087020002,,,,
2023-06-08 09:00:00,829281.4347020002,,,,
2023-06-08 10:00:00,1213627.7617020002,,,,
2023-06-08 11:00:00,1330890.772702,,,,
2023-06-08 12:00:00,1630133.790702,,,,
2023-06-08 13:00:00,1191699.593702,,,,
2023-06-08 14:00:00,1383741.7317020001,,,,
2023-06-08 15:00:00,929404.206702,,,,
2023-06-09 09:00:00,1202068.1097020002,,,,
2023-06-09 10:00:00,1203809.7917020002,,,,
2023-06-09 11:00:00,951542.9397020001,,,,
2023-06-09 12:00:00,1239027.1367020004,,,,
2023-06-09 13:00:00,1114978.7467020003,,,,
2023-06-09 14:00:00,1262086.5647020002,,,,
2023-06-09 15:00:00,1240952.654702,,,,
2023-06-12 09:00:00,1308164.3017020002,,,,
2023-06-12 10:00:00,821651.3437020001,,,,
2023-06-12 11:00:00,1119079.4197020005,,,,
2023-06-12 12:00:00,1259257.0877020003,,,,
2023-06-12 13:00:00,1244049.925702,,,,
2023-06-12 14:00:00,1308052.4587020003,,,,
2023-06-12 15:00:00,841234.028702,,,,
2023-06-13 09:00:00,1268407.6127020002,,,,
2023-06-13 10:00:00,1348226.776702,,,,
2023-06-13 11:00:00,1685007.455702,,,,
2023-06-13 12:00:00,1243817.049702,,,,
2023-06-13 13:00:00,1274693.925702,,,,
2023-06-13 14:00:00,1137724.672,,,,
2023-06-13 15:00:00,1294237.767,,,,
2023-06-14 09:00:00,1289909.252,,,,
2023-06-14 10:00:00,1320740.138,,,,
2023-06-14 11:00:00,1316920.500804,,,,
2023-06-14 12:00:00,1296665.3096299998,,,,
2023-06-14 13:00:00,1221086.38263,,,,
2023-06-14 14:00:00,1212556.8136299998,,,,
2023-06-14 15:00:00,962046.6996300002,,,,
2023-06-15 09:00:00,927841.1776300002,,,,
2023-06-15 10:00:00,961067.674008,,,,
2023-06-15 11:00:00,1237049.705008,,,,
2023-06-15 12:00:00,1239930.4342290002,,,,
2023-06-15 13:00:00,970230.613474,,,,
2023-06-15 14:00:00,1459310.2488890002,,,,
2023-06-15 15:00:00,1321615.4058890003,,,,
2023-06-16 09:00:00,1386478.204889,,,,
2023-06-16 10:00:00,1743841.327889,,,,
2023-06-16 11:00:00,1281416.4398890003,,,,
2023-06-16 12:00:00,1335057.2638890005,,,,
2023-06-16 13:00:00,1319567.482889,,,,
2023-06-16 14:00:00,1247811.736889,,,,
2023-06-16 15:00:00,1242396.1748890001,,,,
2023-06-20 09:00:00,963637.918889,,,,
2023-06-20 10:00:00,1071105.6358890003,,,,
2023-06-20 11:00:00,1031239.0698890002,,,,
2023-06-20 12:00:00,1394927.0088890002,,,,
2023-06-20 13:00:00,1345759.190889,,,,
